Station,Date,Latitude,Longitude,Elevation,Slope,RelativeHumidity_Min,RelativeHumidity_Max,Cloud_Cover_Avg,Precipitation_Avg,Wind_Speed_Avg,Latent_Heat_Flux,Solar_Radiation,TToday_Max,TToday_Min,TrendTMAX,TrendTMIN,Error_Tmax,Error_Tmin,ErroreTmin_Lag1,ErroreTmax_Lag1,ErroreTmin_Lag2,ErroreTmax_Lag2,ErroreTmin_Lag3,ErroreTmax_Lag3,ErroreTmin_Lag4,ErroreTmax_Lag4,ErroreTmin_Lag5,ErroreTmax_Lag5,ErroreTmin_Lag6,ErroreTmax_Lag6
1,2013-07-01,37.6046,126.991,212.335,2.785,72.79857636,97.64279175,0.7228263815,2.95560485275,15.60804504,64.9149458,5987.71875,29.1,21.2,0.4,-0.2,-0.47671609,-2.44256154,-1.80693617,1.02589854,0,0,0,0,0,0,0,0,0,0
2,2013-07-01,37.6046,127.032,44.7624,0.5141,65.73069,92.9493866,0.718177244,3.51643971275,11.3918136,70.69303322,5863.956055,30.5,22.5,-1.4,0.9,-0.137522699999998,-1.21301977,-1.53500932,0.649311440000002,0,0,0,0,0,0,0,0,0,0
3,2013-07-01,37.5776,127.058,33.3068,0.2661,62.74357605,90.56828308,0.7161222827500001,3.7664319997500004,11.70179192,78.72146373,5858.20166,31.1,23.9,-0.5,0.6,-0.27812286,-1.29748616,-0.665633420000002,1.00870829,0,0,0,0,0,0,0,0,0,0
4,2013-07-01,37.645,127.022,45.716,2.5348,74.53421783,97.6300354,0.6933979955,3.24711143675,12.58601775,67.37863513,5851.575195,31.7,24.3,-0.3,0.9,1.45500444,-0.685284370000002,0.97382271,1.9953711,0,0,0,0,0,0,0,0,0,0
5,2013-07-01,37.5507,127.135,35.038,0.5055,72.63654327,94.36520386,0.70533229575,3.288827069,12.4243956,105.3035129,5854.146973,31.2,22.5,-0.2,0.6,1.18842676,-0.904472760000001,-0.986479930000002,2.08606568,0,0,0,0,0,0,0,0,0,0
6,2013-07-01,37.5102,127.042,54.6384,0.1457,65.52217102,91.15923309,0.7083079645000001,2.81832521025,12.50106831,100.761024,5868.374512,31.5,24.0,-0.4,0.5,1.21917605,-0.667958349999999,0.177387100000001,2.28065773,0,0,0,0,0,0,0,0,0,0
7,2013-07-01,37.5776,126.838,12.37,0.0985,73.59443665,93.41606903,0.6701424025,1.71341141375,13.28583898,122.1333132,5843.853516,30.9,23.4,-0.5,-1.0,1.16733181,-1.33118843,-0.838467120000001,2.34814135,0,0,0,0,0,0,0,0,0,0
8,2013-07-01,37.4697,126.91,52.518,1.5629,66.70443726,92.33698273,0.6708233025,2.5917977915000003,12.79457045,82.40053471,5858.525879,31.1,22.9,-1.0,-0.7,1.29428455,-1.25986447,-0.919053890000001,2.24801842,0,0,0,0,0,0,0,0,0,0
9,2013-07-01,37.4967,126.826,50.9312,0.4125,72.05588531,93.54278564,0.6541220615,2.641669628,13.74926058,75.83857814,5871.54541,31.3,21.6,-0.1,-0.4,0.88709029,-1.07256857,-1.73237339,2.8730248,0,0,0,0,0,0,0,0,0,0
10,2013-07-01,37.4562,126.955,208.507,5.1782,68.92158508,95.18622589,0.660832943,2.47130921425,13.52658719,79.97903705,5887.616211,30.5,21.0,-1.1,0.5,2.10620883,-0.705046639999999,-1.52701832,2.92329511,0,0,0,0,0,0,0,0,0,0
11,2013-07-01,37.5372,127.085,28.7,0.6233,64.81935883,90.86804962,0.7131091065000001,3.1177817062499997,11.86145327,97.13036982,5858.687012,31.2,24.5,-0.5,1.0,0.604843489999997,-0.76524654,0.0673539699999992,1.50527571,0,0,0,0,0,0,0,0,0,0
12,2013-07-01,37.5507,126.988,132.118,0.5931,65.32542419,91.7294693,0.709402194,3.3547826269999996,12.75320748,78.85335139,5918.901367,32.6,22.2,1.0,0.0,-0.25757991,-2.45981928,-2.16594852,3.66368632,0,0,0,0,0,0,0,0,0,0
13,2013-07-01,37.5776,127.083,59.8324,2.6865,62.57317734,91.00751495,0.7235122362499999,3.7782419449999995,11.32779938,80.92581185,5855.550293,31.4,24.3,-0.7,0.5,0.444205529999998,-0.794509989999998,0.0182503000000018,1.47072837,0,0,0,0,0,0,0,0,0,0
14,2013-07-01,37.4967,126.927,30.968,0.618,64.40576172,90.97425079,0.6799706812499999,2.8110889947500004,12.71481027,87.93994443,5852.552734,31.7,22.9,0.4,-0.9,0.35755417,-1.46480134,-1.55942658,2.20147381,0,0,0,0,0,0,0,0,0,0
15,2013-07-01,37.5507,126.937,30.0464,0.8552,64.74150085,90.71553802,0.69884466125,3.0869452992500004,12.39907449,84.72494555,5861.348633,30.8,22.8,-1.7,-0.8,-0.550934719999997,-2.1512939,-2.35290854,1.1598968,0,0,0,0,0,0,0,0,0,0
16,2013-07-01,37.4697,126.995,82.2912,2.2579,71.29189301,93.21128082,0.6582602125,2.5465950465,12.66935344,90.76669808,5855.75293,30.8,20.9,0.1,-0.5,1.01621455,-1.56288073,-2.79515104,2.32348253,0,0,0,0,0,0,0,0,0,0
17,2013-07-01,37.6181,127.099,53.4712,0.697,70.13705444,93.94486237,0.7242110770000001,3.5416793872499994,10.64090391,68.66905109,5866.985352,31.5,21.1,-0.6,1.0,1.37462335,-0.971390039999999,-1.93616269,2.17847489,0,0,0,0,0,0,0,0,0,0
18,2013-07-01,37.4832,127.024,56.4448,1.2313,70.6847229,92.01984406,0.6665840185,2.543230833,11.7315524,88.6230851,5859.464355,33.1,23.9,0.3,0.1,2.42014596,-0.474191419999997,0.451835079999999,4.42382539,0,0,0,0,0,0,0,0,0,0
19,2013-07-01,37.5776,126.938,75.0924,1.7678,65.73111725,91.57623291,0.7074143289999999,2.86062769575,12.58367874,76.92165367,5888.26709,31.8,21.6,0.4,-1.2,-0.109122599999999,-1.87903369,-3.37015091,2.52633168,0,0,0,0,0,0,0,0,0,0
20,2013-07-01,37.6181,127.004,146.554,4.7296,76.48796844,99.19757843,0.7165684565,3.08349666925,18.04368989,55.81011232,5926.908691,30.8,23.0,-0.1,0.8,1.60253336,-0.75831616,-0.0315385900000003,2.29701132,0,0,0,0,0,0,0,0,0,0
21,2013-07-01,37.5507,127.04,26.298,0.5721,63.79328156,91.54259491,0.7102237115000001,3.54257544125,11.89693717,82.01732894,5853.975098,30.6,24.0,-1.4,0.4,-0.16324414,-1.4688291,-0.837107060000001,0.623803980000002,0,0,0,0,0,0,0,0,0,0
22,2013-07-01,37.5102,127.086,21.9668,0.1332,68.24116516,91.33728027,0.701878269,2.6411853195,12.2434177,120.3839067,5847.513184,32.6,23.7,0.4,-0.2,1.53810962,-1.05067562,-0.101352210000002,3.41112995,0,0,0,0,0,0,0,0,0,0
23,2013-07-01,37.5372,126.891,15.5876,0.1554,68.4341507,91.64897156,0.68630232875,2.83554644025,12.79118335,111.3613453,5846.012695,31.8,23.2,-0.9,-1.2,0.912909510000002,-0.941382019999999,-1.53371051,2.94201933,0,0,0,0,0,0,0,0,0,0
24,2013-07-01,37.5237,126.909,17.2956,0.2223,65.91047668,91.1552887,0.68702450375,2.92272774925,12.71355206,96.69394875,5844.961914,31.3,23.7,-0.2,-1.3,0.728870260000001,-0.962921350000002,-1.1568064,1.95574814,0,0,0,0,0,0,0,0,0,0
25,2013-07-01,37.5237,126.97,19.5844,0.2713,63.29582214,90.15124512,0.70580819425,3.1053089875,11.78897597,88.43041603,5849.743164,32.0,24.2,-0.5,0.0,0.725900299999999,-1.22039794,-0.772863749999999,2.03624669,0,0,0,0,0,0,0,0,0,0
1,2013-07-02,37.6046,126.991,212.335,2.785,55.64727783,98.37004089,0.15685056300000003,0.00012581975,11.16863346,74.62592047,5981.979492,24.8,18.7,-4.3,-2.5,0.314503380000001,-1.76176995,-2.44256154,-0.47671609,-1.80693617,1.02589854,0,0,0,0,0,0,0,0
2,2013-07-02,37.6046,127.032,44.7624,0.5141,47.84641647,91.92164612,0.137116553,0.0,8.84114778,54.55195355,5858.019043,27.3,21.5,-3.2,-1.0,0.60888628,-1.28443763,-1.21301977,-0.137522699999998,-1.53500932,0.649311440000002,0,0,0,0,0,0,0,0
3,2013-07-02,37.5776,127.058,33.3068,0.2661,42.79627991,88.94004822,0.13487997175,0.0,8.855947753,14.49632748,5852.268066,28.1,21.8,-3.0,-2.1,0.100141409999999,-0.756152790000002,-1.29748616,-0.27812286,-0.665633420000002,1.00870829,0,0,0,0,0,0,0,0
4,2013-07-02,37.645,127.022,45.716,2.5348,55.03902435,96.98162842,0.08257469275,8.26355e-05,6.981138001,81.48602915,5845.616211,27.9,21.5,-3.8,-2.8,1.79473316,1.15287055,-0.685284370000002,1.45500444,0.97382271,1.9953711,0,0,0,0,0,0,0,0
5,2013-07-02,37.5507,127.135,35.038,0.5055,51.78120804,92.57404327,0.1280417905,0.0,8.793535372,136.2970762,5848.15625,28.2,22.2,-3.0,-0.3,1.63713443,-0.342363989999999,-0.904472760000001,1.18842676,-0.986479930000002,2.08606568,0,0,0,0,0,0,0,0
6,2013-07-02,37.5102,127.042,54.6384,0.1457,47.95434189,90.09221649,0.12297010400000001,0.0,8.833617409,53.80911096,5862.382813,28.9,22.3,-2.6,-1.7,1.21480992,-0.21954912,-0.667958349999999,1.21917605,0.177387100000001,2.28065773,0,0,0,0,0,0,0,0
7,2013-07-02,37.5776,126.838,12.37,0.0985,64.12700653,94.24826813,0.1550812555,0.0,8.478866567,126.3611517,5837.890625,27.6,21.2,-3.3,-2.2,2.70907718,-0.807560369999997,-1.33118843,1.16733181,-0.838467120000001,2.34814135,0,0,0,0,0,0,0,0
8,2013-07-02,37.4697,126.91,52.518,1.5629,54.79208755,91.93755341,0.1329104735,0.0,9.05396984,47.79477155,5852.468262,28.2,21.3,-2.9,-1.6,1.2352686,-0.42751252,-1.25986447,1.29428455,-0.919053890000001,2.24801842,0,0,0,0,0,0,0,0
9,2013-07-02,37.4967,126.826,50.9312,0.4125,58.81103134,94.6253891,0.13468107999999998,0.0,9.052359164,97.25379833,5865.608398,27.1,21.0,-4.2,-0.6,2.19318912,-0.95462766,-1.07256857,0.88709029,-1.73237339,2.8730248,0,0,0,0,0,0,0,0
10,2013-07-02,37.4562,126.955,208.507,5.1782,55.5191536,95.68592834,0.1032557455,0.0,10.06820198,65.56205275,5880.977539,27.5,20.7,-3.0,-0.3,1.42327415,-0.60235393,-0.705046639999999,2.10620883,-1.52701832,2.92329511,0,0,0,0,0,0,0,0
11,2013-07-02,37.5372,127.085,28.7,0.6233,46.00736618,89.98445129,0.113818874,0.0,8.925254901,62.78225923,5852.796875,28.9,22.5,-2.3,-2.0,0.882843380000001,-0.106705990000002,-0.76524654,0.604843489999997,0.0673539699999992,1.50527571,0,0,0,0,0,0,0,0
12,2013-07-02,37.5507,126.988,132.118,0.5931,46.69628525,91.76262665,0.13582455599999999,0.0,9.660558462,26.66173784,5912.88623,26.8,19.8,-5.8,-2.4,1.98412152,-1.61496606,-2.45981928,-0.25757991,-2.16594852,3.66368632,0,0,0,0,0,0,0,0
13,2013-07-02,37.5776,127.083,59.8324,2.6865,42.16406631,89.36790466,0.11884806675000001,0.0,8.789325198,34.07828295,5849.480469,28.7,22.3,-2.7,-2.0,0.562526910000003,-0.225219509999999,-0.794509989999998,0.444205529999998,0.0182503000000018,1.47072837,0,0,0,0,0,0,0,0
14,2013-07-02,37.4967,126.927,30.968,0.618,49.8368454,90.46141052,0.13303161400000002,0.0,9.264664233,16.9181515,5846.571777,27.9,21.5,-3.8,-1.4,0.556466950000001,-1.05772446,-1.46480134,0.35755417,-1.55942658,2.20147381,0,0,0,0,0,0,0,0
15,2013-07-02,37.5507,126.937,30.0464,0.8552,48.56834412,91.16609955,0.14535614925,0.0,8.900253952,30.24546349,5855.466797,27.1,20.7,-3.7,-2.1,0.60355775,-1.43921628,-2.1512939,-0.550934719999997,-2.35290854,1.1598968,0,0,0,0,0,0,0,0
16,2013-07-02,37.4697,126.995,82.2912,2.2579,53.7555275,93.80367279,0.09137380275,0.0,8.279846996,96.13059823,5849.513184,27.5,20.8,-3.3,-0.1,0.886803200000003,-1.70155901,-1.56288073,1.01621455,-2.79515104,2.32348253,0,0,0,0,0,0,0,0
17,2013-07-02,37.6181,127.099,53.4712,0.697,49.50217438,92.25378418,0.11417060550000001,0.0,8.388738076,128.8795583,5861.010254,27.8,21.7,-3.7,0.6,1.57813289,-0.38547007,-0.971390039999999,1.37462335,-1.93616269,2.17847489,0,0,0,0,0,0,0,0
18,2013-07-02,37.4832,127.024,56.4448,1.2313,51.92755508,92.03936005,0.10588562124999999,0.0,8.024378816,102.4318776,5853.381836,29.2,22.1,-3.9,-1.8,3.02520299,-0.0360436799999988,-0.474191419999997,2.42014596,0.451835079999999,4.42382539,0,0,0,0,0,0,0,0
19,2013-07-02,37.5776,126.938,75.0924,1.7678,50.45304108,92.43758392,0.15020732074999998,0.0,8.830007096,40.75629157,5882.380371,27.1,20.5,-4.7,-1.1,1.31311516,-1.25671893,-1.87903369,-0.109122599999999,-3.37015091,2.52633168,0,0,0,0,0,0,0,0
20,2013-07-02,37.6181,127.004,146.554,4.7296,58.53262329,99.54116058,0.127285101,0.002845921,11.89214206,77.42500949,5921.158691,27.3,20.7,-3.5,-2.3,2.52864637,0.273667120000002,-0.75831616,1.60253336,-0.0315385900000003,2.29701132,0,0,0,0,0,0,0,0
21,2013-07-02,37.5507,127.04,26.298,0.5721,44.01414108,89.89665222,0.12800658525,0.0,8.77695479,16.32354619,5848.048828,28.2,21.7,-2.4,-2.3,-0.423105140000001,-0.698506950000002,-1.4688291,-0.16324414,-0.837107060000001,0.623803980000002,0,0,0,0,0,0,0,0
22,2013-07-02,37.5102,127.086,21.9668,0.1332,48.91342163,90.62117004,0.12497889875000001,0.0,8.337131759,91.60378091,5841.537598,29.1,22.3,-3.5,-1.4,2.2905506,-0.441586320000003,-1.05067562,1.53810962,-0.101352210000002,3.41112995,0,0,0,0,0,0,0,0
23,2013-07-02,37.5372,126.891,15.5876,0.1554,55.61594009,92.99118042,0.13731189525,0.0,8.612080872,84.3052597,5840.055176,28.1,21.8,-3.7,-1.4,2.63167867,-0.492311569999998,-0.941382019999999,0.912909510000002,-1.53371051,2.94201933,0,0,0,0,0,0,0,0
24,2013-07-02,37.5237,126.909,17.2956,0.2223,51.36541367,91.92327881,0.13428771750000001,0.0,8.844451865,45.62435444,5838.980469,28.2,21.9,-3.1,-1.8,1.19984352,-0.503075259999999,-0.962921350000002,0.728870260000001,-1.1568064,1.95574814,0,0,0,0,0,0,0,0
25,2013-07-02,37.5237,126.97,19.5844,0.2713,46.02954865,89.79634857,0.1296217705,0.0,8.811855356,22.26123909,5843.812988,28.8,21.9,-3.2,-2.3,0.548186659999999,-0.590055160000002,-1.22039794,0.725900299999999,-0.772863749999999,2.03624669,0,0,0,0,0,0,0,0
1,2013-07-03,37.6046,126.991,212.335,2.785,76.01796722,95.99053192,0.45162130899999997,0.01292378475,10.54649893,39.80990524,5975.67627,28.1,17.8,3.3,-0.9,-2.92565111,-1.1825791,-1.76176995,0.314503380000001,-2.44256154,-0.47671609,-1.80693617,1.02589854,0,0,0,0,0,0
2,2013-07-03,37.6046,127.032,44.7624,0.5141,67.43305969,88.4930954,0.43735677824999997,0.0089610085,8.924415529,34.19226205,5851.499512,30.8,19.8,3.5,-1.7,-1.95374139,-0.923548950000001,-1.28443763,0.60888628,-1.21301977,-0.137522699999998,-1.53500932,0.649311440000002,0,0,0,0,0,0
3,2013-07-03,37.5776,127.058,33.3068,0.2661,63.89918137,84.93093109,0.45090565625,0.00990668425,8.840452413,10.25675501,5845.751465,31.2,20.7,3.1,-1.1,-2.7236132,-0.889838909999998,-0.756152790000002,0.100141409999999,-1.29748616,-0.27812286,-0.665633420000002,1.00870829,0,0,0,0,0,0
4,2013-07-03,37.645,127.022,45.716,2.5348,71.9851532,95.42837524,0.3893128885,0.00535833325,7.632252306,44.41779734,5839.094727,31.3,20.7,3.4,-0.8,-1.81454763,0.66944513,1.15287055,1.79473316,-0.685284370000002,1.45500444,0.97382271,1.9953711,0,0,0,0,0,0
5,2013-07-03,37.5507,127.135,35.038,0.5055,70.62746429,90.73003387,0.42533372975,0.01039864575,9.116770724,83.3045613,5841.578125,31.3,20.8,3.1,-1.4,-1.17170563,0.19349867,-0.342363989999999,1.63713443,-0.904472760000001,1.18842676,-0.986479930000002,2.08606568,0,0,0,0,0,0
6,2013-07-03,37.5102,127.042,54.6384,0.1457,66.27981567,87.20005035,0.4501124995,0.01179824525,7.85158211,37.16331649,5855.803223,31.3,20.9,2.4,-1.4,-1.87264409,0.254951339999998,-0.21954912,1.21480992,-0.667958349999999,1.21917605,0.177387100000001,2.28065773,0,0,0,0,0,0
7,2013-07-03,37.5776,126.838,12.37,0.0985,80.02159882,93.48442078,0.49190259150000004,0.0119442585,8.706108769,78.74871667,5831.343262,30.0,20.1,2.4,-1.1,-0.813487859999999,-0.481425730000002,-0.807560369999997,2.70907718,-1.33118843,1.16733181,-0.838467120000001,2.34814135,0,0,0,0,0,0
8,2013-07-03,37.4697,126.91,52.518,1.5629,71.91465759,90.3301239,0.49070392674999996,0.01191086475,8.893550952,27.4541897,5845.816895,30.0,20.3,1.8,-1.0,-2.15306458,-0.663404159999999,-0.42751252,1.2352686,-1.25986447,1.29428455,-0.919053890000001,2.24801842,0,0,0,0,0,0
9,2013-07-03,37.4967,126.826,50.9312,0.4125,77.23519135,92.52099609,0.49128061724999994,0.01113674675,9.186913967,51.93360957,5859.089355,30.1,19.4,3.0,-1.6,-0.77551807,-0.485581850000003,-0.95462766,2.19318912,-1.07256857,0.88709029,-1.73237339,2.8730248,0,0,0,0,0,0
10,2013-07-03,37.4562,126.955,208.507,5.1782,72.97541809,92.02542114,0.42026844975,0.01361096525,9.380760133,41.22328527,5873.69043,29.4,19.1,1.9,-1.6,-2.19231061,0.43963557,-0.60235393,1.42327415,-0.705046639999999,2.10620883,-1.52701832,2.92329511,0,0,0,0,0,0
11,2013-07-03,37.5372,127.085,28.7,0.6233,65.22405243,86.97291565,0.45962248699999997,0.01151200075,8.269839923,41.56073372,5846.328613,31.6,21.2,2.7,-1.3,-1.84470887,0.04890829,-0.106705990000002,0.882843380000001,-0.76524654,0.604843489999997,0.0673539699999992,1.50527571,0,0,0,0,0,0
12,2013-07-03,37.5507,126.988,132.118,0.5931,67.72483826,88.56263733,0.47385841375000004,0.01229641825,8.90484637,17.71593938,5906.28125,31.5,18.9,4.7,-0.9,-1.42793825,-1.2583723,-1.61496606,1.98412152,-2.45981928,-0.25757991,-2.16594852,3.66368632,0,0,0,0,0,0
13,2013-07-03,37.5776,127.083,59.8324,2.6865,63.46357727,84.986763,0.454833257,0.0096497125,8.542201142,22.29584765,5842.81543,31.6,21.0,2.9,-1.3,-2.01394318,-0.213795099999999,-0.225219509999999,0.562526910000003,-0.794509989999998,0.444205529999998,0.0182503000000018,1.47072837,0,0,0,0,0,0
14,2013-07-03,37.4967,126.927,30.968,0.618,68.47524261,88.12435913,0.50390913725,0.011026272,8.846963604,11.87924206,5840.003906,30.2,20.0,2.3,-1.5,-2.32800217,-1.02031256,-1.05772446,0.556466950000001,-1.46480134,0.35755417,-1.55942658,2.20147381,0,0,0,0,0,0
15,2013-07-03,37.5507,126.937,30.0464,0.8552,69.28218079,88.0616684,0.49680009599999997,0.01214180025,8.405486027,21.17835351,5849.007324,30.4,19.7,3.3,-1.0,-2.68991307,-1.26804894,-1.43921628,0.60355775,-2.1512939,-0.550934719999997,-2.35290854,1.1598968,0,0,0,0,0,0
16,2013-07-03,37.4697,126.995,82.2912,2.2579,70.91090393,88.89791107,0.3990165325,0.0104950855,7.065554241,60.37272596,5842.662598,30.1,18.9,2.6,-1.9,-2.91775424,-0.0370891600000007,-1.70155901,0.886803200000003,-1.56288073,1.01621455,-2.79515104,2.32348253,0,0,0,0,0,0
17,2013-07-03,37.6181,127.099,53.4712,0.697,67.85626221,88.08847809,0.42278530375,0.0054949725,8.127476871,75.17423002,5854.449219,31.4,20.5,3.6,-1.2,-1.53535544,-0.241934230000002,-0.38547007,1.57813289,-0.971390039999999,1.37462335,-1.93616269,2.17847489,0,0,0,0,0,0
18,2013-07-03,37.4832,127.024,56.4448,1.2313,69.46207428,89.44161224,0.42199067525,0.010279222,6.840222339,62.34847685,5846.703125,32.6,20.8,3.4,-1.3,-0.466667260000001,0.63792145,-0.0360436799999988,3.02520299,-0.474191419999997,2.42014596,0.451835079999999,4.42382539,0,0,0,0,0,0
19,2013-07-03,37.5776,126.938,75.0924,1.7678,70.73946381,89.2598877,0.46682149625,0.012268152,8.501654069,25.68495518,5875.916016,30.5,19.5,3.4,-1.0,-1.92737708,-0.995601579999999,-1.25671893,1.31311516,-1.87903369,-0.109122599999999,-3.37015091,2.52633168,0,0,0,0,0,0
20,2013-07-03,37.6181,127.004,146.554,4.7296,78.77919006,98.7556839,0.43253134175,0.0130884535,12.39046705,38.96497571,5914.817383,30.6,20.1,3.3,-0.6,-0.909455019999999,0.76072401,0.273667120000002,2.52864637,-0.75831616,1.60253336,-0.0315385900000003,2.29701132,0,0,0,0,0,0
